Rank	ID	AllowAlternatives	TP	FP	FN	F1	Sensitivity	Precision	Sample	SampleID	Dataset	Tool	Taxonomy	Profile	ProfileColumns	GoldStd	GoldStdColumns	GoldStdTree	AvailableSpecies
Class	mOTUs3_gastrointestinal_11	FALSE	9	0	0	1.0	1.0	1.0	gastrointestinal_11	11.0	Gastrointestinal	mOTUs3	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/motus3/Gastrointestinal/11.profile.tsv	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Gastrointestinal/taxonomic_profile_11.txt	0|2|4|1	NA	NA
Phylum	MetaPhlAn4 GTDB_gastrointestinal_3	FALSE	7	0	0	1.0	1.0	1.0	gastrointestinal_3	3.0	Gastrointestinal	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Gastrointestinal_samples/3.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Gastrointestinal/abundance_3_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Genus	MetaPhlAn3_gastrointestinal_9	TRUE	12	4	5	0.7272727272727273	0.7058823529411765	0.75	gastrointestinal_9	9.0	Gastrointestinal	MetaPhlAn3	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan3/Gastrointestinal/9.profile.tsv	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Gastrointestinal/taxonomic_profile_9.txt	0|2|4|1	NA	NA
Genus	MetaPhlAn3_skin_13	FALSE	13	0	1	0.9629629629629629	0.9285714285714286	1.0	skin_13	13.0	Skin	MetaPhlAn3	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan3/Skin/13.profile.tsv	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Skin/taxonomic_profile_13.txt	0|2|4|1	NA	NA
Domain	MetaPhlAn4 GTDB_skin_14	FALSE	1	0	0	1.0	1.0	1.0	skin_14	14.0	Skin	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Skin_samples/14.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Skin/abundance_14_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Species	protal_airways_7	FALSE	76	0	2	0.987012987012987	0.9743589743589743	1.0	airways_7	7.0	Airways	protal	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/protal_r214/profiles/profile_forest_all_4/Airways/7.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Airways/abundance_7_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r214.tsv
Species	mOTUs3_skin_15	TRUE	26	4	1	0.9122807017543859	0.9629629629629629	0.8666666666666667	skin_15	15.0	Skin	mOTUs3	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/motus3/Skin/15.profile.tsv	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Skin/taxonomic_profile_15.txt	0|2|4|1	NA	NA
Species	mOTUs3 GTDB_airways_12	TRUE	36	4	8	0.8571428571428571	0.8181818181818182	0.9	airways_12	12.0	Airways	mOTUs3 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/motus3_gtdb/output_gtdb/Airways_samples/12.gtdb_profile.tsv	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Airways/abundance_12_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/motus3_species.tsv
Phylum	bracken_urogenital_6	TRUE	4	1	0	0.8888888888888888	1.0	0.8	urogenital_6	6.0	Urogenital	bracken	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/bracken/Urogenital_samples/6_450_gtdb.profile	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Urogenital/taxonomic_profile_6.txt	0|2|4|1	NA	NA
Class	protal_gastrointestinal_9	FALSE	6	0	0	1.0	1.0	1.0	gastrointestinal_9	9.0	Gastrointestinal	protal	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/protal_r214/profiles/profile_forest_all_4/Gastrointestinal/9.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Gastrointestinal/abundance_9_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r214.tsv
Phylum	protal_urogenital_25	TRUE	5	0	0	1.0	1.0	1.0	urogenital_25	25.0	Urogenital	protal	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/protal_r214/profiles/profile_forest_all_4/Urogenital/25.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Urogenital/abundance_25_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r214.tsv
Genus	mOTUs3 GTDB_airways_12	TRUE	6	0	15	0.4444444444444444	0.2857142857142857	1.0	airways_12	12.0	Airways	mOTUs3 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/motus3_gtdb/output_gtdb/Airways_samples/12.gtdb_profile.tsv	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Airways/abundance_12_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/motus3_species.tsv
Genus	bracken_gastrointestinal_3	FALSE	19	5	1	0.8636363636363636	0.95	0.7916666666666666	gastrointestinal_3	3.0	Gastrointestinal	bracken	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/bracken/Gastrointestinal_samples/3_450_gtdb.profile	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Gastrointestinal/taxonomic_profile_3.txt	0|2|4|1	NA	NA
Phylum	sylph_gastrointestinal_11	TRUE	8	0	0	1.0	1.0	1.0	gastrointestinal_11	11.0	Gastrointestinal	sylph	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/sylph/Gastrointestinal_11.profile	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Gastrointestinal/abundance_11_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r214.tsv
Class	MetaPhlAn4 GTDB_skin_13	FALSE	6	0	0	1.0	1.0	1.0	skin_13	13.0	Skin	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Skin_samples/13.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Skin/abundance_13_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Species	MetaPhlAn4 GTDB_oral_8	FALSE	50	9	13	0.819672131147541	0.7936507936507936	0.847457627118644	oral_8	8.0	Oral	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Oral_samples/8.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Oral/abundance_8_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Domain	MetaPhlAn4 GTDB_skin_19	TRUE	1	0	0	1.0	1.0	1.0	skin_19	19.0	Skin	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Skin_samples/19.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Skin/abundance_19_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Genus	mOTUs3 GTDB_urogenital_24	TRUE	1	0	13	0.13333333333333333	0.07142857142857142	1.0	urogenital_24	24.0	Urogenital	mOTUs3 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/motus3_gtdb/output_gtdb/Urogenital_samples/24.gtdb_profile.tsv	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Urogenital/abundance_24_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/motus3_species.tsv
Order	bracken GTDB_oral_7	TRUE	8	1	0	0.9411764705882353	1.0	0.8888888888888888	oral_7	7.0	Oral	bracken GTDB	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/bracken_gtdb/Oral_samples/7_450.gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Oral/abundance_7_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/kraken2_taxa.tsv
Order	bracken GTDB_skin_19	TRUE	18	1	0	0.972972972972973	1.0	0.9473684210526315	skin_19	19.0	Skin	bracken GTDB	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/bracken_gtdb/Skin_samples/19_450.gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Skin/abundance_19_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/kraken2_taxa.tsv
Species	mOTUs3_gastrointestinal_0	FALSE	28	9	6	0.7887323943661971	0.8235294117647058	0.7567567567567568	gastrointestinal_0	0.0	Gastrointestinal	mOTUs3	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/motus3/Gastrointestinal/0.profile.tsv	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Gastrointestinal/taxonomic_profile_0.txt	0|2|4|1	NA	NA
Species	mOTUs3 GTDB_gastrointestinal_4	TRUE	39	8	6	0.8478260869565217	0.8666666666666667	0.8297872340425532	gastrointestinal_4	4.0	Gastrointestinal	mOTUs3 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/motus3_gtdb/output_gtdb/Gastrointestinal_samples/4.gtdb_profile.tsv	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Gastrointestinal/abundance_4_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/motus3_species.tsv
Class	bracken_gastrointestinal_10	TRUE	8	1	0	0.9411764705882353	1.0	0.8888888888888888	gastrointestinal_10	10.0	Gastrointestinal	bracken	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/bracken/Gastrointestinal_samples/10_450_gtdb.profile	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Gastrointestinal/taxonomic_profile_10.txt	0|2|4|1	NA	NA
Species	sylph_skin_28	FALSE	13	1	0	0.9629629629629629	1.0	0.9285714285714286	skin_28	28.0	Skin	sylph	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/sylph/Skin_28.profile	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Skin/abundance_28_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r214.tsv
Order	MetaPhlAn3_skin_15	TRUE	9	0	1	0.9473684210526315	0.9	1.0	skin_15	15.0	Skin	MetaPhlAn3	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan3/Skin/15.profile.tsv	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Skin/taxonomic_profile_15.txt	0|2|4|1	NA	NA
Genus	varkit_gastrointestinal_9	TRUE	30	0	1	0.9836065573770492	0.967741935483871	1.0	gastrointestinal_9	9.0	Gastrointestinal	varkit	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/varkit_gtdb/Gastrointestinal_samples/9.profile.tsv	0|3|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Gastrointestinal/abundance_9_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r207.tsv
Order	varkit_urogenital_24	TRUE	1	0	0	1.0	1.0	1.0	urogenital_24	24.0	Urogenital	varkit	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/varkit_gtdb/Urogenital_samples/24.profile.tsv	0|3|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Urogenital/abundance_24_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r207.tsv
Domain	bracken GTDB_urogenital_0	TRUE	1	0	0	1.0	1.0	1.0	urogenital_0	0.0	Urogenital	bracken GTDB	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/bracken_gtdb/Urogenital_samples/0_450.gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Urogenital/abundance_0_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/kraken2_taxa.tsv
Species	MetaPhlAn4 GTDB_gastrointestinal_9	TRUE	36	2	3	0.935064935064935	0.9230769230769231	0.9473684210526315	gastrointestinal_9	9.0	Gastrointestinal	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Gastrointestinal_samples/9.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Gastrointestinal/abundance_9_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Domain	MetaPhlAn4 GTDB_airways_9	FALSE	1	0	0	1.0	1.0	1.0	airways_9	9.0	Airways	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Airways_samples/9.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Airways/abundance_9_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Family	MetaPhlAn4 GTDB_skin_1	FALSE	19	0	0	1.0	1.0	1.0	skin_1	1.0	Skin	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Skin_samples/1.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Skin/abundance_1_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Class	mOTUs3_oral_17	TRUE	8	0	0	1.0	1.0	1.0	oral_17	17.0	Oral	mOTUs3	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/motus3/Oral/17.profile.tsv	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Oral/taxonomic_profile_17.txt	0|2|4|1	NA	NA
Family	MetaPhlAn4 GTDB_urogenital_6	FALSE	9	0	0	1.0	1.0	1.0	urogenital_6	6.0	Urogenital	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Urogenital_samples/6.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Urogenital/abundance_6_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Phylum	MetaPhlAn4 GTDB_airways_4	FALSE	6	0	0	1.0	1.0	1.0	airways_4	4.0	Airways	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Airways_samples/4.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Airways/abundance_4_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Class	bracken_airways_9	TRUE	9	1	0	0.9473684210526315	1.0	0.9	airways_9	9.0	Airways	bracken	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/bracken/Airways_samples/9_450_gtdb.profile	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Airways/taxonomic_profile_9.txt	0|2|4|1	NA	NA
Order	protal_urogenital_0	TRUE	8	0	0	1.0	1.0	1.0	urogenital_0	0.0	Urogenital	protal	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/protal_r214/profiles/profile_forest_all_4/Urogenital/0.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Urogenital/abundance_0_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r214.tsv
Order	protal_urogenital_21	FALSE	7	0	0	1.0	1.0	1.0	urogenital_21	21.0	Urogenital	protal	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/protal_r214/profiles/profile_forest_all_4/Urogenital/21.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Urogenital/abundance_21_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r214.tsv
Species	protal_urogenital_5	FALSE	25	0	0	1.0	1.0	1.0	urogenital_5	5.0	Urogenital	protal	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/protal_r214/profiles/profile_forest_all_4/Urogenital/5.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Urogenital/abundance_5_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r214.tsv
Species	sylph_skin_14	TRUE	29	2	1	0.9508196721311475	0.9666666666666667	0.9354838709677419	skin_14	14.0	Skin	sylph	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/sylph/Skin_14.profile	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Skin/abundance_14_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r214.tsv
Domain	sylph_skin_17	TRUE	1	0	0	1.0	1.0	1.0	skin_17	17.0	Skin	sylph	GTDB r214	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/sylph/Skin_17.profile	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r214/Skin/abundance_17_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r214.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r214.tsv
Species	bracken_skin_17	FALSE	48	66	0	0.5925925925925926	1.0	0.42105263157894735	skin_17	17.0	Skin	bracken	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/bracken/Skin_samples/17_450_gtdb.profile	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Skin/taxonomic_profile_17.txt	0|2|4|1	NA	NA
Class	MetaPhlAn4_gastrointestinal_3	TRUE	10	0	0	1.0	1.0	1.0	gastrointestinal_3	3.0	Gastrointestinal	MetaPhlAn4	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4/Gastrointestinal_samples/3.profile.tsv	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Gastrointestinal/taxonomic_profile_3.txt	0|2|4|1	NA	NA
Superkingdom	bracken_oral_14	TRUE	1	2	0	0.5	1.0	0.3333333333333333	oral_14	14.0	Oral	bracken	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/bracken/Oral_samples/14_450_gtdb.profile	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Oral/taxonomic_profile_14.txt	0|2|4|1	NA	NA
Genus	MetaPhlAn4 GTDB_urogenital_0	FALSE	22	0	1	0.9777777777777777	0.9565217391304348	1.0	urogenital_0	0.0	Urogenital	MetaPhlAn4 GTDB	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4_gtdb/Urogenital_samples/0.profile_gtdb.tsv	X|0|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Urogenital/abundance_0_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/metaphlan_species_Jan21.txt
Order	MetaPhlAn4_airways_10	FALSE	14	0	0	1.0	1.0	1.0	airways_10	10.0	Airways	MetaPhlAn4	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4/Airways_samples/10.profile.tsv	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Airways/taxonomic_profile_10.txt	0|2|4|1	NA	NA
Species	MetaPhlAn4_gastrointestinal_9	TRUE	27	9	8	0.7605633802816901	0.7714285714285715	0.75	gastrointestinal_9	9.0	Gastrointestinal	MetaPhlAn4	NCBI	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/metaphlan4/Gastrointestinal_samples/9.profile.tsv	0|2|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/Gastrointestinal/taxonomic_profile_9.txt	0|2|4|1	NA	NA
Order	varkit_airways_12	TRUE	14	0	0	1.0	1.0	1.0	airways_12	12.0	Airways	varkit	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/varkit_gtdb/Airways_samples/12.profile.tsv	0|3|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Airways/abundance_12_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r207.tsv
Genus	varkit_gastrointestinal_11	TRUE	42	0	2	0.9767441860465116	0.9545454545454546	1.0	gastrointestinal_11	11.0	Gastrointestinal	varkit	GTDB r207	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/varkit_gtdb/Gastrointestinal_samples/11.profile.tsv	0|3|4|1	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/gold_standards/GTDB_r207/Gastrointestinal/abundance_11_gtdb.profile	0|1|2	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/bac120_r207.sp_labels.tree	/media/fritsche/Extreme_SSD/results/CAMI/HumanToy/Benchmark/trees/gtdb_all_species_r207.tsv
